"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"14172563","11382647","18386388","18390967","18438322","18470777","16115725","18538568","11377382","5610165","18682190","18775310","18849550","11695328","18875934","18903022","18387041","18482028","18580144","18919813","18922254","18932554","18938756","18964278","19001185","19020866","19041700","19064670","19075050","19088595"
"18373780","18376469","18386609","133668","18438624","18472381","11377118","11897884","15630272","18625908","18694006","18775737","15882102","18862982","18876104","18903093","18906795","18908266","18561687","18919847","18482170","18933183","18939720","18964409","19001518","19021406","19042521","19064861","19075112","19088755"
"15779327","18376552","18386680","15567259","18438884","16785703","18512154","11383081","18579177","18626067","18696981","18776020","18850178","18864736","1893018","18903181","18388204","18484335","18911937","11808747","18922422","18933368","18940471","18964767","19002237","19021820","11995228","19064876","19075507","19015245"
"18373985","18376627","18386696","11814548","18439246","18472493","18515144","11377320","5315643","18626875","18697574","18776262","18851395","18864757","11725602","18903272","18389825","18908346","18912868","18919905","18922783","18933480","18940552","18972359","19003007","19021854","19042795","19066758","19074498","18764163"
"18374076","18376697","18386858","11432133","18440079","15534640","18516215","18540066","14011289","11929612","18697692","18723939","18851897","18864923","18845186","18903417","18907017","18908348","18917134","18919965","18922939","18933502","18947381","18979770","19004188","19023519","19042921","19070047","19075924","19095790"
"18374218","18377170","18386894","11562839","18440228","18472607","18516241","18546961","18594000","18637595","11450666","18778603","18854611","18865185","18876969","18903683","18389274","18524814","18776475","13225960","18922975","18933642","18926478","18980095","19005057","19023674","11888041","19070646","19076201","19095921"
"18375063","18377873","18386985","11385589","11874160","18472654","18516352","18547483","11719366","18637678","18700453","18778908","14138314","18865226","18877529","18903820","6536839","18483645","18858639","18920128","18923673","18933837","18948806","11484557","11639089","19029218","19043352","19071255","19076367","19086591"
"18374332","18377939","18386988","11969335","18441054","18474312","18516517","18550396","13666363","11624920","18388550","18787230","11789269","18865703","18878695","18903908","18438302","18515735","18918140","18920135","18473204","18934106","18948838","18983125","11944799","19029966","11514771","19071303","19076399","19099902"
"18374399","15297019","11925767","18411474","18389184","18474520","18516855","18439270","18599224","11882127","18708913","17144602","11863087","18866518","11694965","18904184","18907374","18375933","18918247","15819321","18864552","18934358","11922808","18986079","19005936","19030051","19044519","19071504","19077073","19100600"
"18374835","11670414","11778071","18417395","18441299","15567420","18517176","18551314","18599419","15505464","18712663","15657300","18859152","11696424","13092706","18904351","18907454","18484905","18918312","18920198","18924116","18934403","18950325","18987461","15605745","19017986","19044709","19071775","19077250","18360871"
"18374691","11954907","18387044","18419493","18441357","18481596","18518857","11375718","12186429","18638876","18720247","18810731","17220098","18872407","18548268","18904453","18388242","18451841","18918543","18920335","18924186","11602343","18950828","18988840","18518027","19031089","19044848","17178053","18831451","18377584"
"18374653","11854154","18387152","18419739","18442087","12865176","18520514","18562513","18607275","18639690","18721428","18811317","18859392","11714769","18533213","18904668","18547727","18908943","18918680","18920356","18924376","18935395","18951239","14069134","19006381","19031643","19045234","19071822","19077447","18295404"
"11901766","18383020","18387450","18420470","18442450","18481949","18521736","15717899","18608199","11699371","18522202","18817151","18861727","11420834","18436509","18547435","18907546","18909052","18918728","18920378","18924412","11955659","18952021","18989318","19007026","19019578","18340514","18551628","19075685","18321871"
"16404773","18384018","15718383","18420528","18440284","18482136","18521783","18563219","18608307","18640208","18721980","11576370","18861915","18872517","18879588","18905480","18467783","18909021","18918757","12017067","18924537","18935563","18953058","18989740","19007271","15886568","18316742","10226345","19078486","18307196"
"18374924","18384100","11382073","18421253","11640030","18482218","18522218","18563628","18608901","18640583","18726731","18388501","18862024","18873218","11885157","11544924","18907580","18484299","18918822","18920497","18924582","11637562","18954246","18990470","18995017","19032817","19046297","19072240","19077369","18313838"
"11376224","18384504","18388043","18421831","18452827","18482629","18527509","18563800","18609276","18644349","18738895","18835113","18862234","15731729","11473942","18905527","18390208","18575932","18774536","18533861","18925391","18936149","18955579","18990651","11796160","19032895","19047021","14166860","19073148","4396150"
"7958154","16033716","18388132","18421884","15886017","18482817","18529047","18564310","18535949","11578688","18743448","18843370","11692571","18874131","15688667","18905593","18420381","18563151","18919007","18920745","18925673","18936154","18958365","15467148","19016941","19032934","19047967","19072844","19083427","19103096"
"15703811","11687393","18376825","18422200","11625548","18389278","18529597","18565506","18610138","18649659","18744282","11626163","18862407","18874199","11554675","18905981","18472843","18909212","18574745","18920799","18926034","18936332","18959988","18991151","19016966","14096218","19048032","19073292","17505240","19103297"
"4637137","18385504","11932401","18422416","18453381","18483302","18531357","18567645","18611437","7542749","15668841","11694319","18862426","18874210","18885962","18906013","18907688","18909456","18919185","18920814","18663578","18936457","11504878","18991291","19017276","19033032","18483297","19073373","11626079","19110864"
"18375853","18385516","11771983","15919535","18453428","18483469","11929048","18574547","18611602","11625360","18745864","18843672","18862760","18874278","18886277","18906055","18907632","18909549","18876253","18920910","18698103","18922232","18961347","18991885","19017798","18990659","18834407","19073380","19083955","19112440"
"5597733","11806123","18388373","11899192","18453996","18484020","11663696","11734557","18611707","18651689","18754931","18846634","18608362","18694308","18873964","18420160","18907839","18909577","18756565","18921005","18700941","18936549","18961864","18992228","19017908","19033347","18953800","19073406","19084054","18862114"
"11815546","11960109","18388791","18424355","18454266","18484121","15819902","15690797","18611719","11376921","18756288","18832490","18863414","18874684","18376519","18906402","18907897","18546317","18577952","11405888","18926781","18874488","18961886","18993076","18990575","19033404","19059579","19073460","19084084","19117321"
"11475002","18385525","11776308","18437192","18454791","18484356","11611201","18566251","18606838","18652836","18757165","18846930","18863319","18874730","18893895","18906439","18908008","18909920","18773827","18921296","11944389","14537644","18962168","18993413","19018414","19033668","19062066","19073556","19084141","19125826"
"18376104","18385779","18389088","18437368","18454973","18484560","18532301","18575712","18612733","6258725","18757249","18847286","18863776","18874627","18895001","18906460","18388556","18909960","18868090","18921606","18927116","11815195","18962331","18993685","19018511","19033845","19063523","19073743","19084281","18576176"
"18376129","18385834","18389115","18437452","18455745","18484941","18533066","5603337","18617300","11430422","11971028","18847303","18863831","18874871","18895085","15937866","18908081","18910220","18831380","18472712","18927244","50251","18962407","18994263","19018782","19032536","19063583","17179860","19084317","19136724"
"18376135","18385886","18389132","18437611","18456025","18484969","18533158","18576610","18623168","18661832","11779529","18847531","18864155","18874975","18776893","18906547","18908140","18910228","18818686","18921740","15616932","18936701","18962427","18994461","14125714","19034417","19063662","19074177","18907824","19140466"
"18376194","18385931","18389188","18437843","18456949","18485061","18533503","18576641","18623509","18662461","18388026","18847700","11639461","18875204","18877044","18373888","18483590","18420725","18919451","18897860","18927646","18937200","18963143","18995177","19019566","19034483","19063850","19074400","19085139","17615260"
"18376204","18386029","18389233","18437926","18465582","18486001","18533915","18577097","18624449","18663333","18613919","18848361","18864261","18875224","18897724","18906685","18908151","18654412","18919375","18921862","18927770","11474084","18963190","18995182","19019649","19035177","19063989","19074401","19041993","19203461"
"18376205","11933656","18389629","18437996","11940492","18486308","18534163","18577371","18624549","18664841","18761610","18848857","18864273","18875483","18860551","18906705","18908155","18910986","18909145","18921954","18625702","18937701","18378898","18995642","19020072","19035635","19064076","11957077","19085980","19267254"
"15239283","11794912","18390042","18438042","18467701","18486397","18534594","15571272","18624928","18665741","18773221","18848928","18864365","18875524","18900839","18906709","18908158","18638629","11579924","18922052","18575905","18387731","18963439","18996025","19020686","19037122","19064599","18989867","18863830","18662098"
"18376236","11409997","18390312","16903990","18468938","15694961","18537745","11801550","18625361","18666874","18775230","18849497","18864268","11714851","18902677","18906713","18908168","11429711","13819815","18922064","18928989","14125907","18963786","18997449","19020689","19041241","19064658","19075032","19033870","19540432"
