cluster.id,user.id,is.exemplar
1,a176674,0
4,a858127,0
4,a269733,0
0,a523080,0
1,a888130,0
3,a888618,0
0,a518448,0
1,a653307,0
1,a253771,0
1,a779439,0
1,a582611,0
4,a119809,0
4,a745349,0
1,a189465,0
1,a654118,0
1,a527288,0
1,a730811,0
1,a458997,0
1,a450013,0
1,a328604,0
1,a172176,0
2,a475557,0
1,a397198,0
1,a735831,0
1,a156718,0
1,a782005,0
0,a486928,0
0,a320248,1
0,a683297,0
1,a195820,0
0,a533641,0
2,a607739,0
4,a714084,0
4,a712103,0
1,a403988,0
2,a710266,0
1,a793194,0
1,a512149,0
1,a818027,0
0,a415289,0
1,a241708,0
3,a955900,0
0,a253088,0
1,a913968,0
0,a809908,0
1,a820511,0
4,a923424,0
3,a884154,0
0,a319863,0
0,a389183,0
2,a624516,0
2,a421417,0
4,a506218,0
3,a342376,0
4,a471583,0
1,a219482,0
2,a972944,0
0,a163732,0
4,a182569,0
1,a333843,0
0,a373523,0
2,a429127,0
0,a202700,0
1,a433881,0
3,a797034,0
3,a471709,0
1,a367418,0
4,a904442,0
1,a279626,0
1,a408399,0
0,a389737,0
1,a832707,0
0,a416414,0
0,a875136,0
1,a182365,0
3,a980309,0
1,a756212,0
4,a440430,0
4,a198534,0
0,a996656,0
1,a875339,0
0,a905776,0
4,a983568,1
1,a639380,0
4,a575663,0
0,a194270,0
2,a265833,0
2,a626451,0
1,a173490,0
3,a791537,0
4,a364716,0
3,a565874,0
4,a691711,0
0,a931471,0
2,a594573,0
1,a751969,0
4,a471166,0
1,a538920,0
0,a784275,0
2,a306414,0
3,a625985,0
2,a399957,0
0,a543850,0
2,a751139,0
1,a547936,0
0,a139209,0
2,a348364,0
4,a379023,0
1,a181153,0
1,a320710,0
1,a987075,0
1,a261469,0
3,a928941,0
1,a408147,0
1,a422743,0
4,a875605,0
2,a699928,0
1,a942777,0
1,a443595,0
2,a572117,0
2,a522901,0
1,a480628,0
4,a448905,0
2,a142174,0
2,a232957,0
1,a909466,0
0,a533215,0
1,a611395,0
1,a691997,0
1,a816813,1
2,a676598,0
0,a606661,0
0,a582533,0
1,a731335,0
3,a592379,0
1,a856448,0
3,a666144,0
1,a535272,0
1,a416676,0
4,a954391,0
2,a197437,0
0,a776392,0
1,a208227,0
1,a328575,0
3,a990335,0
1,a941947,0
1,a848970,0
1,a838821,0
1,a496207,0
2,a912491,0
1,a958556,0
3,a192583,0
3,a404968,0
1,a492653,0
1,a793863,0
1,a132163,0
2,a940821,0
1,a908674,0
1,a446897,0
2,a887820,0
1,a328536,0
4,a786530,0
2,a182872,0
1,a111573,0
1,a614316,0
4,a723433,0
3,a736644,1
1,a262488,0
2,a104541,0
1,a588695,0
1,a737002,0
0,a105610,0
3,a240613,0
4,a339060,0
0,a190059,0
1,a982048,0
1,a246413,0
1,a448152,0
0,a926512,0
1,a814651,0
3,a737946,0
4,a636671,0
0,a255010,0
3,a401697,0
4,a557678,0
1,a590101,0
2,a570248,0
1,a521452,0
3,a165387,0
3,a943560,0
0,a986094,0
4,a118915,0
1,a608948,0
1,a841039,0
1,a106856,0
1,a941298,0
0,a846502,0
1,a487112,0
1,a621152,0
2,a723336,0
1,a979307,0
0,a244831,0
4,a365595,0
1,a599511,0
1,a427024,0
4,a511839,0
0,a949281,0
2,a430143,0
1,a277031,0
1,a833531,0
3,a314474,0
0,a731695,0
1,a400389,0
2,a881707,0
3,a805048,0
4,a101568,0
1,a846126,0
0,a254709,0
4,a981920,0
1,a292003,0
3,a334271,0
2,a404537,0
0,a719112,0
1,a837243,0
2,a662871,0
0,a413650,0
3,a470247,0
0,a954697,0
2,a360634,1
1,a896812,0
0,a590005,0
3,a416805,0
0,a508921,0
1,a715778,0
0,a874533,0
0,a921126,0
1,a101792,0
1,a594670,0
3,a774155,0
2,a506764,0
0,a667236,0
